,lambda_x,lambda_y,sigma_xx [MPa],sigma_yy [MPa]
257,1.057889068,1,0.006271116,0.003859271
258,1.06004308,1,0.005317134,0.005654281
259,1.061793215,1,0.002420869,0.003859271
260,1.063812601,1,0.006306231,0.006551786
261,1.066101239,1,0.005347521,0.004756776
262,1.06825525,1,0.004384084,0.004756776
263,1.070543888,1,0.006346133,0.006551786
264,1.0726979,1,0.007337195,0.004756776
265,1.074986537,1,0.007352849,0.006551786
266,1.077140549,1,0.007367582,0.007449291
267,1.079429187,1,0.009253657,0.007449291
268,1.081583199,1,0.009272122,0.007449291
269,1.083333333,1,0.012251102,0.007449291
270,1.085352719,1,0.011284105,0.009334051
271,1.087641357,1,0.014283662,0.012924071
272,1.089929995,1,0.012325702,0.011129061
273,1.092084006,1,0.015337979,0.012924071
274,1.094372644,1,0.015370122,0.013821576
275,1.096661282,1,0.016402412,0.013821576
276,1.098815293,1,0.021344976,0.014719081
277,1.101103931,1,0.021389433,0.018398851
278,1.103257943,1,0.020525729,0.017501346
279,1.105142703,1,0.023483653,0.017501346
280,1.107296715,1,0.023529424,0.018398851
281,1.109585353,1,0.02458999,0.016514091
282,1.11187399,1,0.02565473,0.019296356
283,1.114162628,1,0.031804186,0.021988871
284,1.116451265,1,0.031869516,0.021988871
285,1.118739903,1,0.036934231,0.023783881
286,1.121028541,1,0.039054528,0.024681386
287,1.123317178,1,0.040158717,0.029258661
288,1.125605816,1,0.045373258,0.030156166
289,1.127490576,1,0.048431196,0.030156166
290,1.129644588,1,0.052644632,0.031053671
291,1.131933226,1,0.053783603,0.034643691
292,1.134356489,1,0.058036844,0.036528451
293,1.136645127,1,0.060227161,0.036528451
294,1.138933764,1,0.062321957,0.040118471
295,1.141357027,1,0.065577285,0.042810985
296,1.143645665,1,0.074052752,0.04370849
297,1.145934303,1,0.077231687,0.049183271
298,1.148357566,1,0.082631475,0.050080775
299,1.150242326,1,0.085914133,0.050080775
300,1.152396338,1,0.094377739,0.05097828
301,1.154819602,1,0.096682571,0.05277329
302,1.157242865,1,0.103217831,0.05824807
303,1.159666128,1,0.108616244,0.05824807
304,1.161954766,1,0.117308156,0.064620355
305,1.164378029,1,0.124879942,0.06551786
306,1.166801292,1,0.132482226,0.06910788
307,1.169224556,1,0.140221641,0.071800395
308,1.171647819,1,0.143717858,0.079070185
309,1.173532579,1,0.154544555,0.07996769
310,1.175821217,1,0.161172758,0.08364746
311,1.17824448,1,0.172250424,0.082749955
312,1.180667744,1,0.181111094,0.08723748
313,1.183091007,1,0.189035608,0.08903249
314,1.18551427,1,0.201207666,0.09450727
315,1.187937534,1,0.211261121,0.100789804
316,1.190360797,1,0.222439514,0.10177706
317,1.19278406,1,0.235837286,0.108059594
318,1.195207324,1,0.247216617,0.113534374
319,1.19722671,1,0.260627465,0.119816909
320,1.199515347,1,0.269767884,0.118919404
321,1.201938611,1,0.284453324,0.123496679
322,1.2044965,1,0.300327718,0.130766469
323,1.206919763,1,0.314030286,0.134356489
324,1.209477652,1,0.330028011,0.138933764
325,1.211900915,1,0.343841655,0.145216299
326,1.214324179,1,0.362137717,0.150691079
327,1.216882068,1,0.381655944,0.152486089
328,1.219305331,1,0.394536736,0.161550889
329,1.221459343,1,0.412834321,0.167025669
330,1,1,0.002263263,-0.000624721
331,1,1.001901141,0.000452653,0.000268247
332,1,1.003938077,0.000452653,0.000268792
333,1,1.006110809,0.001357958,0.002065198
334,1,1.008147746,0.000452653,0.000269919
335,1,1.010184682,0.002263263,0.001172013
336,1,1.012357414,0.001357958,0.000271046
337,1,1.014394351,0.001357958,0.001176897
338,1,1.016431287,0.002263263,0.00117926
339,1,1.018468224,0.003168568,0.001181623
340,1,1.020097773,0.003168568,0.003004304
341,1,1.022134709,0.004073873,0.003010303
342,1,1.024307442,0.005884483,0.00667331
343,1,1.026344378,0.004073873,0.004854641
344,1,1.02851711,0.004979178,0.004864918
345,1,1.030689842,0.005884483,0.006714891
346,1,1.032726779,0.003168568,0.007649828
347,1,1.034899511,0.004979178,0.007665922
348,1,1.036936448,0.004979178,0.007681011
349,1,1.03910918,0.004979178,0.009644565
350,1,1.040874525,0.006789788,0.014305638
351,1,1.042775665,0.006789788,0.013401133
352,1,1.044948398,0.006789788,0.015294202
353,1,1.04712113,0.006789788,0.021026529
354,1,1.049293862,0.006789788,0.018260803
355,1,1.051330798,0.012131088,0.017264156
356,1,1.053503531,0.012131088,0.023035106
357,1,1.055676263,0.009415173,0.026851203
358,1,1.057848995,0.013036393,0.029833135
359,1,1.059885932,0.013941698,0.031782389
360,1,1.061651276,0.013941698,0.036572726
361,1,1.063688213,0.019282998,0.037592194
362,1,1.065996741,0.017562919,0.042525707
363,1,1.068169473,0.019282998,0.049380793
364,1,1.070342205,0.018468224,0.053302182
365,1,1.072514938,0.019282998,0.058291977
366,1,1.074823466,0.021093609,0.062254389
367,1,1.076996198,0.021998914,0.07016575
368,1,1.07916893,0.022904219,0.075122871
369,1,1.081341662,0.028336049,0.085021152
370,1,1.083107007,0.028336049,0.089123129
371,1,1.085143944,0.029241354,0.095101415
372,1,1.087452471,0.030961434,0.102194329
373,1,1.089760999,0.033677349,0.110289065
374,1,1.091933732,0.035487959,0.120351464
375,1,1.09424226,0.040014485,0.128418436
376,1,1.096414992,0.04263987,0.138556326
377,1,1.09872352,0.0480717,0.149732335
378,1,1.100896252,0.04626109,0.162997491
379,1,1.10320478,0.04988231,0.171215807
380,1,1.104970125,0.053503531,0.183520696
381,1,1.107142857,0.054318305,0.193762351
382,1,1.109451385,0.057034221,0.206246072
383,1,1.111759913,0.058844831,0.223641842
384,1,1.114068441,0.063371356,0.23723046
385,1,1.116376969,0.065181966,0.250773836
386,1,1.118685497,0.069617961,0.267366333
387,1,1.120858229,0.073239182,0.283090476
388,1,1.123166757,0.076860402,0.300814229
389,1,1.125475285,0.081296397,0.317704447
390,1,1.127376426,0.083107007,0.333433777
391,1,1.129549158,0.085822922,0.353431446
392,1,1.131857686,0.089353612,0.372538255
393,1,1.134166214,0.092974833,0.395768844
394,1,1.136610538,0.100217273,0.421169741
395,1,1.138919066,0.106463878,0.445708175
396,1,1.141227594,0.110990404,0.471259266
397,1,1.143536122,0.114521094,0.498951191
398,1,1.145980445,0.118142314,0.528961255
399,1,1.148288973,0.123574144,0.556979078
400,1,1.150190114,0.13163136,0.587874947
401,1,1.152362846,0.13525258,0.608731431
